Entity,Year,CO2PerCapita,MeatSupplyKgPerCap,Code,Urban_Percentage,GDP_Per_Capita,Oils per-capita,meat per-capita,Food per-capita,Urban_Percentage_mean,GDP_Per_Capita_mean,Oils per-capita_mean,meat per-capita_mean,Food per-capita_mean
Afghanistan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Albania,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Algeria,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Andorra,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Angola,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Antigua and Barbuda,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Argentina,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Armenia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Australia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Austria,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Azerbaijan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Bahamas,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Bahrain,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Bangladesh,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Barbados,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Belarus,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Belgium,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Belize,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Benin,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Bhutan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Bolivia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Bosnia and Herzegovina,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Botswana,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Brazil,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Brunei,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Bulgaria,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Burkina Faso,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Burundi,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Cambodia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Cameroon,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Canada,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Cape Verde,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Central African Republic,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Chad,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Chile,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
China,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Colombia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Comoros,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Congo,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Costa Rica,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Cote d'Ivoire,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Croatia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Cuba,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Cyprus,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Czech Republic,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Democratic Republic of Congo,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Denmark,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Djibouti,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Dominica,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Dominican Republic,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Ecuador,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Egypt,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
El Salvador,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Equatorial Guinea,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Eritrea,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Estonia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Ethiopia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Fiji,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Finland,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
France,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Gabon,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Gambia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Georgia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Germany,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Ghana,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Greece,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Grenada,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Guatemala,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Guinea,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Guinea-Bissau,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Guyana,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Haiti,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Honduras,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Hong Kong,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Hungary,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Iceland,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
India,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Indonesia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Iran,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Iraq,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Ireland,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Israel,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Italy,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Jamaica,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Japan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Jordan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Kazakhstan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Kenya,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Kiribati,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Kuwait,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Kyrgyzstan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Laos,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Latvia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Lebanon,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Lesotho,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Liberia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
Libya,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786
