Entity,Year,CO2PerCapita,MeatSupplyKgPerCap,Code,Urban_Percentage,GDP_Per_Capita,Oils per-capita,meat per-capita,Food per-capita,Urban_Percentage_mean,GDP_Per_Capita_mean,Oils per-capita_mean,meat per-capita_mean,Food per-capita_mean,Country
Afghanistan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Afghanistan
Albania,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Albania
Algeria,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Algeria
Andorra,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Andorra
Angola,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Angola
Antigua and Barbuda,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Antigua and Barbuda
Argentina,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Argentina
Armenia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Armenia
Australia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Australia
Austria,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Austria
Azerbaijan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Azerbaijan
Bahamas,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Bahamas
Bahrain,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Bahrain
Bangladesh,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Bangladesh
Barbados,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Barbados
Belarus,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Belarus
Belgium,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Belgium
Belize,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Belize
Benin,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Benin
Bhutan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Bhutan
Bolivia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Bolivia
Bosnia and Herzegovina,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Bosnia and Herzegovina
Botswana,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Botswana
Brazil,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Brazil
Brunei,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Brunei
Bulgaria,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Bulgaria
Burkina Faso,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Burkina Faso
Burundi,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Burundi
Cambodia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Cambodia
Cameroon,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Cameroon
Canada,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Canada
Cape Verde,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Cape Verde
Central African Republic,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Central African Republic
Chad,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Chad
Chile,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Chile
China,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,China
Colombia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Colombia
Comoros,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Comoros
Congo,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Congo
Costa Rica,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Costa Rica
Cote d'Ivoire,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Cote d'Ivoire
Croatia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Croatia
Cuba,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Cuba
Cyprus,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Cyprus
Czech Republic,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Czech Republic
Democratic Republic of Congo,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Democratic Republic of Congo
Denmark,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Denmark
Djibouti,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Djibouti
Dominica,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Dominica
Dominican Republic,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Dominican Republic
Ecuador,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Ecuador
Egypt,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Egypt
El Salvador,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,El Salvador
Equatorial Guinea,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Equatorial Guinea
Eritrea,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Eritrea
Estonia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Estonia
Ethiopia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Ethiopia
Fiji,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Fiji
Finland,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Finland
France,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,France
Gabon,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Gabon
Gambia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Gambia
Georgia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Georgia
Germany,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Germany
Ghana,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Ghana
Greece,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Greece
Grenada,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Grenada
Guatemala,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Guatemala
Guinea,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Guinea
Guinea-Bissau,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Guinea-Bissau
Guyana,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Guyana
Haiti,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Haiti
Honduras,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Honduras
Hong Kong,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Hong Kong
Hungary,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Hungary
Iceland,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Iceland
India,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,India
Indonesia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Indonesia
Iran,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Iran
Iraq,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Iraq
Ireland,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Ireland
Israel,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Israel
Italy,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Italy
Jamaica,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Jamaica
Japan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Japan
Jordan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Jordan
Kazakhstan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kazakhstan
Kenya,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kenya
Kiribati,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kiribati
Kuwait,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kuwait
Kyrgyzstan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kyrgyzstan
Laos,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Laos
Latvia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Latvia
Lebanon,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Lebanon
Lesotho,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Lesotho
Liberia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Liberia
Libya,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Libya
